resturant,address,rate,rate_count,food,avg_price_for_two,rate_ratio,sector,fod,continental,italian,chicken,desserts,north indian,asian,japanese,fast food,sandwich,bbq,south indian,street food,bakery,cafe,seafood,european,pizza,burger,chinese,ice cream,wraps,biryani,momos,mexican,american,rajasthani,image
Musafir By Imly,"Golf Course Road, Gurgaon",4.0,26.0,"chinese,north indian,biryani",900.0,10.198039027185567,Golf Course Road,"chinese,north indian,biryani",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/7/18416827/66e679827c23ac5253cb39e3a0f04ad8_featured_v2.jpg
The Forestta Dhaba,"Sector 31, Gurgaon",3.7,21.0,"north indian,mughlai,rolls,biryani",400.0,8.814760348415605,Sector 31,"north indian,chicken,wraps,biryani",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/0/20520750/70f79f0a26c01fbb7fa684e093321724_featured_v2.jpg
Chinese Wok,"Sapphire Ninety, Gurgaon",3.6,13.0,"chinese,sichuan,momos",550.0,6.841052550594828,Sapphire Ninety,"chinese,momos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/20522803/ca6af8652dc665a98c18c21fce87f583_featured_v2.jpg
Atrium Deli - Ramada,"Ramada Gurgaon Central, Sector 44, Gurgaon",3.9,352.0,"north indian,italian,continental",3000.0,37.05131576611012,Sector 44,"north indian,italian,continental",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/19539403/7120a7dd8f007e378c436463af5061f6_featured_v2.jpg
The Whisky Bar & Brewpub,"Sector 29, Gurgaon",4.1,649.0,"north indian,chinese,pizza,fast food,beverages",2500.0,51.58391222076898,Sector 29,"north indian,chinese,pizza,fast food,cafe",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/20698823/7f51b6a023d77e9105677702586eb1a5_featured_v2.jpg
The Chinese Kitchen,"Sector 15, Gurgaon",4.1,300.0,"chinese,thai,fast food",1300.0,35.07135583350036,Sector 15,"chinese,asian,fast food",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/7/20681617/9be2e883ea95549a66edcb4a3d677f5a_featured_v2.jpg
WOW! China,"Sector 22, Gurgaon",3.8,37.0,"chinese,oriental,asian,sichuan,momos",550.0,11.85748708622531,Sector 22,"chinese,asian,asian,momos",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/8/19043958/7f7e676f632cc1a84ae27eea1cd81efa_featured_v2.jpg
Housewives Kitchen,"Sector 43, Gurgaon",3.8,29.0,"north indian,street food",200.0,10.497618777608569,Sector 43,"north indian,street food",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/7/18416827/66e679827c23ac5253cb39e3a0f04ad8_featured_v2.jpg
Deluna Restaurant,"Golf Course Road, Gurgaon",3.6,11.0,korean,1900.0,6.29285308902091,Golf Course Road,asian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/8/19046158/eac9378e3b7b4ea4edf10d0bf4fd7e80_featured_v2.jpg
Honey & Dough,"DLF Horizon Center, Gurgaon",4.5,228.0,"cafe,bakery,continental,fast food,pizza,beverages,desserts",1100.0,32.03123475609393,DLF Phase Phase,"cafe,bakery,continental,fast food,pizza,cafe,desserts",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/4/18671714/ddb7786171eab5fb146927cfcbbf6470_featured_v2.jpg
Boccon Cheeni By IGR,"Suncity Business Tower, Golf Course Road, Gurgaon",4.5,181.0,"asian,continental,italian,modern indian,beverages,coffee",2500.0,28.53944638566067,Golf Course Road,"asian,continental,italian,cafe,cafe",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/4/19701744/e88fa82ca2bb00da8ba6740c95bf182f_featured_v2.jpg
Pizza Hut,"Manesar, Gurgaon",3.8,61.0,"pizza,fast food,italian",600.0,15.224979474534605,Manesar,"pizza,fast food,italian",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/0/20520750/70f79f0a26c01fbb7fa684e093321724_featured_v2.jpg
Nagpal's Chole Bhature,"Sector 45, Gurgaon",3.5,18.0,"north indian,beverages",300.0,7.937253933193772,Sector 45,"north indian,cafe",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/6/5046/a762f0249216e797a52375c872c03da2_featured_v2.jpg
Fig,"DLF Phase 4, Gurgaon",3.6,8.0,"cafe,healthy food,continental,salad,beverages",1200.0,5.366563145999495,DLF Phase Phase,"cafe,continental,cafe",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/9/19677039/430943131ed2fede219e39de5455e8c7_featured_v2.jpg
