resturant,rate,rate_count,food,avg_price_for_two,rate_ratio,sector,image,site_url
Dhaba - Estd 1986 Delhi,4.4,3893,"north indian,mughlai,desserts,beverages",1800,130.87856967433592,DLF Phase,https://b.zmtcdn.com/data/pictures/2/308022/8252b7166113ca06dcdd3ec69764375e_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Indian Grill Room,4.5,3670,"bbq,north indian,chinese,desserts,beverages",2200,128.51069994362337,Golf Course Road,https://b.zmtcdn.com/data/pictures/3/19539403/7120a7dd8f007e378c436463af5061f6_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Adda By Striker,4.3,3643,"north indian,mughlai,chinese,pizza,mexican,momos,desserts,beverages",1700,125.15949824124417,Sector 29,https://b.zmtcdn.com/data/pictures/8/18291198/61400b1cd420a594db38a5f3c3bf9813_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Factory By Sutra,4.3,3532,"modern indian,asian,continental,italian,pizza,chinese",1900,123.2379811584075,Sector 29,https://b.zmtcdn.com/data/pictures/5/20504225/f3736730661e7787a7a4f5c771fc06b9_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
The Barbeque Company,4.1,3657,"bbq,north indian,chinese,salad,fast food,desserts",1700,122.44876479572996,Sector 29,https://b.zmtcdn.com/data/pictures/3/20698823/7f51b6a023d77e9105677702586eb1a5_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Burma Burma,4.9,2986,"asian,salad,desserts,beverages",1800,120.96032407363997,DLF Phase,https://b.zmtcdn.com/data/pictures/9/19677039/430943131ed2fede219e39de5455e8c7_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Raasta,4.2,3395,"continental,italian,salad,beverages",2500,119.41105476462388,DLF Phase,https://b.zmtcdn.com/data/pictures/2/20205372/55f5d87a7221eaf3798153d101a0b3d6_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
The Wine Company,4.1,3431,"bar food,beverages",2900,118.60480597345116,DLF Phase,https://b.zmtcdn.com/data/pictures/8/20756278/7c8f86372e9f97174867134e8677c898_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
The Barbeque Times,4.2,3318,"bbq,south indian,north indian,asian,mughlai,street food,bakery,desserts",1700,118.04914230946363,Sector 50,https://b.zmtcdn.com/data/pictures/3/20605913/2a6c9057260b2ef2a974a6d8e06d3ff5_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Barbeque Nation,4.3,3169,"bbq,north indian,biryani,kebab,continental,chinese,beverages,desserts",2000,116.73345707208368,Grand Mall,https://b.zmtcdn.com/data/pictures/4/19701744/e88fa82ca2bb00da8ba6740c95bf182f_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
